Age,Annual Income,Employment Status,Loan Amount,Existing Debts,Credit Utilization Ratio,Number of Credit Accounts,Payment History,Credit History Length,Number of Late Payments,Debt-to-Income Ratio,Loan Purpose,Creditworthy
39,51166,Employed,26047,57973,0.4,15,0.93,15.4,1,0.26,Debt Consolidation,0
28,30862,Employed,4177,15277,0.68,12,0.77,7.0,4,0.09,Home Improvement,0
27,55697,Self-Employed,28502,37893,0.93,10,0.75,2.1,4,0.2,Major Purchase,0
51,31329,Employed,20249,33280,0.73,6,1.0,14.1,0,0.28,Home Improvement,0
58,39972,Self-Employed,4197,15416,0.82,6,0.81,5.2,3,0.07,Business,1
41,29794,Employed,3461,24102,0.59,12,0.92,19.0,1,0.12,Debt Consolidation,1
54,67884,Self-Employed,25166,61678,0.56,15,0.87,23.9,2,0.2,Major Purchase,1
46,75299,Employed,47754,29865,0.42,4,0.93,14.7,1,0.2,Debt Consolidation,1
34,43594,Self-Employed,4581,8597,0.49,8,0.78,6.1,4,0.05,Major Purchase,0
46,49967,Employed,9692,30154,0.47,4,0.99,6.0,0,0.12,Debt Consolidation,1
60,23758,Employed,8994,10172,0.72,2,0.86,5.4,2,0.14,Home Improvement,1
41,42199,Employed,1120,13493,0.47,12,0.99,22.3,0,0.04,Debt Consolidation,0
60,47805,Unemployed,2775,55841,0.65,7,0.87,9.2,2,0.15,Home Improvement,1
18,181751,Employed,33656,75322,0.24,4,0.99,0.2,0,0.09,Debt Consolidation,1
51,28113,Employed,1606,28893,0.53,9,0.99,31.8,0,0.14,Major Purchase,1
43,101934,Self-Employed,58281,23891,0.89,9,1.0,14.2,0,0.17,Debt Consolidation,1
38,80694,Employed,8375,90968,0.38,8,0.93,16.1,1,0.16,Education,1
43,56405,Employed,1819,53771,0.41,14,0.88,2.1,2,0.12,Debt Consolidation,0
18,118102,Self-Employed,77992,114609,0.74,1,1.0,0.6,0,0.27,Business,1
39,59044,Employed,32373,27615,0.36,12,0.93,9.0,1,0.19,Home Improvement,0
46,59550,Self-Employed,1783,34703,0.37,2,0.98,21.8,0,0.08,Major Purchase,1
59,47735,Self-Employed,8560,33988,0.7,13,0.82,2.5,3,0.13,Home Improvement,1
35,90380,Employed,30168,85654,0.33,14,1.0,7.4,0,0.19,Debt Consolidation,1
32,84815,Unemployed,66927,86415,0.93,11,0.8,11.4,3,0.31,Debt Consolidation,0
35,35852,Employed,25264,3357,0.55,4,0.87,9.4,2,0.18,Auto,1
52,25346,Employed,2132,27497,0.49,18,0.88,19.2,2,0.15,Education,1
45,44289,Employed,11709,49824,0.8,19,0.91,3.5,1,0.2,Auto,1
35,32858,Employed,5445,23376,0.43,16,0.83,3.1,3,0.13,Debt Consolidation,0
48,47488,Employed,14062,10641,0.66,14,0.99,20.6,0,0.1,Education,1
43,91009,Unemployed,47801,89379,0.52,8,0.77,17.2,4,0.24,Major Purchase,1
53,39001,Self-Employed,11388,25674,0.47,12,0.93,34.3,1,0.15,Debt Consolidation,1
33,47982,Employed,29036,47052,0.39,9,0.83,11.0,3,0.26,Debt Consolidation,1
38,50463,Employed,6318,49340,0.6,6,0.92,10.4,1,0.15,Auto,1
37,74922,Employed,55714,7797,0.36,10,0.98,16.4,0,0.19,Debt Consolidation,0
24,15939,Unemployed,5439,11609,0.74,2,0.91,1.5,1,0.17,Education,0
45,36194,Self-Employed,18060,20983,0.4,2,0.88,12.7,2,0.19,Home Improvement,0
45,54482,Employed,40019,61855,0.32,8,0.83,8.5,3,0.31,Major Purchase,0
42,89325,Self-Employed,17978,31796,0.22,14,1.0,3.4,0,0.09,Business,1
39,38332,Employed,29460,9475,0.37,6,0.83,16.3,3,0.21,Education,1
25,19181,Employed,12343,20648,0.64,10,0.87,4.1,2,0.28,Debt Consolidation,0
36,66826,Employed,4324,11925,0.44,16,0.93,10.5,1,0.04,Debt Consolidation,1
37,35679,Employed,23552,29392,0.87,8,0.71,8.4,5,0.26,Business,0
32,27042,Employed,3934,9735,0.43,14,0.99,7.0,0,0.08,Education,0
40,35876,Employed,6033,24446,0.61,17,0.77,3.4,4,0.12,Auto,0
46,44700,Employed,7086,33054,0.35,12,0.83,19.2,3,0.13,Home Improvement,1
64,36229,Employed,5333,18144,0.93,17,0.85,20.5,2,0.1,Debt Consolidation,0
44,16272,Employed,12177,19037,0.49,13,1.0,21.4,0,0.32,Debt Consolidation,0
45,76767,Employed,27939,12144,0.29,19,1.0,6.1,0,0.11,Debt Consolidation,1
41,92729,Employed,19894,43552,0.38,12,0.99,5.5,0,0.11,Auto,1
18,67897,Unemployed,5687,35066,0.79,9,1.0,0.7,0,0.08,Auto,1
41,27754,Employed,3887,21016,0.67,5,0.82,19.6,3,0.12,Debt Consolidation,0
42,44322,Employed,4043,21660,0.63,16,0.92,11.9,1,0.08,Education,1
71,48861,Retired,19015,5689,0.26,6,1.0,38.8,0,0.11,Business,1
39,66131,Self-Employed,18789,75185,0.95,11,0.75,21.0,4,0.2,Education,0
45,68471,Unemployed,7115,34187,0.62,17,0.72,26.7,5,0.08,Home Improvement,0
41,33959,Employed,23879,13963,0.57,14,0.87,17.4,2,0.22,Debt Consolidation,0
27,51072,Employed,33717,27377,0.8,6,0.91,6.9,1,0.22,Business,1
55,61613,Self-Employed,42179,16014,0.33,11,0.93,9.9,1,0.2,Home Improvement,0
51,101509,Employed,61262,12208,0.63,12,0.99,27.7,0,0.16,Business,1
51,69720,Employed,41971,12430,0.57,13,0.92,14.0,1,0.17,Auto,1
31,72731,Employed,36610,14545,0.46,4,0.99,12.5,0,0.14,Business,1
58,51119,Employed,6504,12125,0.48,7,0.98,4.2,0,0.06,Major Purchase,1
25,99233,Employed,75185,50008,0.28,2,0.89,3.6,2,0.24,Auto,1
49,60167,Employed,27848,45045,0.32,6,0.88,17.7,2,0.2,Debt Consolidation,1
68,31871,Retired,16675,24051,0.72,6,0.86,20.9,2,0.22,Debt Consolidation,0
30,98882,Unemployed,27520,11,0.53,2,0.77,3.3,4,0.07,Debt Consolidation,1
35,69490,Employed,15833,76796,0.3,14,0.88,10.5,2,0.19,Debt Consolidation,1
43,39280,Self-Employed,19579,38785,0.63,8,0.92,19.1,1,0.24,Debt Consolidation,1
35,38570,Employed,29707,44614,0.3,8,0.94,11.3,1,0.32,Home Improvement,0
23,56856,Employed,8574,24560,0.51,8,0.82,1.9,3,0.09,Debt Consolidation,1
42,61795,Employed,9143,49297,0.43,8,0.99,17.8,0,0.13,Home Improvement,0
29,54103,Unemployed,24936,10908,0.71,1,0.71,3.6,5,0.13,Business,0
47,57276,Self-Employed,37596,56155,0.62,2,0.87,5.9,2,0.28,Auto,0
30,114688,Employed,88005,22208,0.17,12,0.98,8.6,0,0.21,Major Purchase,1
60,83765,Self-Employed,49538,32767,0.33,15,0.88,35.6,2,0.19,Debt Consolidation,1
32,53923,Employed,38505,31760,0.79,4,0.81,7.3,3,0.24,Home Improvement,1
38,78484,Unemployed,17623,55992,0.99,3,0.8,11.1,3,0.14,Debt Consolidation,0
51,29253,Employed,3952,19644,0.36,14,0.93,10.7,1,0.11,Home Improvement,1
27,59812,Self-Employed,12630,7327,0.37,6,0.93,5.0,1,0.07,Education,1
44,121134,Employed,18239,61294,0.27,8,0.94,4.3,1,0.1,Debt Consolidation,1
57,43957,Employed,32023,48681,0.43,13,0.93,37.3,1,0.31,Debt Consolidation,0
22,32086,Employed,4238,33588,0.43,7,0.88,3.4,2,0.16,Auto,1
44,35381,Employed,1553,25082,0.49,19,0.88,17.7,2,0.1,Auto,1
45,28429,Employed,12005,19524,0.72,5,0.76,15.0,4,0.18,Education,0
51,33110,Employed,11077,4437,0.47,13,0.93,26.3,1,0.1,Debt Consolidation,0
27,40731,Employed,14612,9788,0.67,12,0.92,5.0,1,0.11,Home Improvement,1
26,24275,Employed,12137,7359,0.42,10,0.88,3.1,2,0.16,Debt Consolidation,0
48,49405,Employed,26804,28943,0.68,1,0.92,5.7,1,0.2,Major Purchase,0
45,76967,Employed,42154,67548,0.5,16,0.92,17.8,1,0.24,Business,1
45,31136,Unemployed,8338,17214,0.64,2,0.77,25.2,4,0.13,Debt Consolidation,0
46,104782,Employed,56146,15850,0.22,7,0.94,5.1,1,0.15,Debt Consolidation,1
33,63284,Employed,10617,33364,0.28,6,0.89,3.5,2,0.1,Education,1
44,82066,Employed,16398,16015,0.48,5,0.93,11.8,1,0.07,Debt Consolidation,1
45,35280,Employed,3693,31800,0.43,4,0.93,22.0,1,0.13,Major Purchase,1
33,75151,Employed,31971,15015,0.33,2,0.83,5.1,3,0.13,Auto,1
64,28396,Employed,2971,16442,0.46,10,0.93,12.4,1,0.09,Debt Consolidation,1
47,76505,Employed,55554,63659,0.5,5,0.92,18.4,1,0.27,Debt Consolidation,1
27,53418,Unemployed,15542,14627,0.8,2,0.56,5.3,8,0.1,Auto,0
49,64642,Employed,9691,5897,0.47,10,0.88,2.8,2,0.05,Home Improvement,0
30,27233,Employed,14454,18408,0.7,7,0.82,1.9,3,0.21,Education,1
51,31334,Employed,21498,2038,0.83,15,0.91,21.6,1,0.17,Debt Consolidation,1
55,66079,Employed,4773,46606,0.66,9,0.87,17.7,2,0.1,Debt Consolidation,0
32,30510,Self-Employed,21031,27587,0.46,11,0.93,13.6,1,0.27,Education,1
53,61796,Employed,41677,24420,0.37,17,0.83,24.1,3,0.21,Home Improvement,1
46,24746,Employed,3866,14501,0.3,9,0.94,1.3,1,0.11,Debt Consolidation,0
51,74913,Employed,50838,83491,0.56,16,0.92,16.4,1,0.3,Debt Consolidation,0
64,26469,Employed,3067,14963,0.34,6,0.93,19.7,1,0.1,Education,1
39,64611,Employed,23291,77265,0.83,11,0.76,3.1,4,0.23,Auto,1
32,67024,Self-Employed,29497,12627,0.41,7,0.88,13.0,2,0.13,Debt Consolidation,1
31,34600,Self-Employed,17831,29434,0.72,1,0.91,10.7,1,0.23,Auto,0
32,65579,Self-Employed,32969,51357,0.39,4,0.93,4.0,1,0.21,Debt Consolidation,1
41,55838,Self-Employed,43726,58448,0.79,15,0.86,6.6,2,0.31,Debt Consolidation,0
46,37443,Employed,10316,4153,0.3,1,0.99,1.9,0,0.08,Auto,1
45,29605,Employed,17677,9954,0.46,1,0.83,8.7,3,0.18,Education,0
51,18373,Self-Employed,5160,2914,0.92,9,0.8,19.7,3,0.09,Debt Consolidation,0
42,58385,Self-Employed,36314,65374,0.41,12,1.0,10.7,0,0.28,Debt Consolidation,1
59,22417,Self-Employed,9267,11476,0.79,4,0.86,39.8,2,0.16,Debt Consolidation,0
38,51414,Employed,40812,56147,0.28,13,1.0,2.1,0,0.32,Business,0
74,42970,Retired,4775,15180,0.46,7,0.78,33.5,4,0.07,Debt Consolidation,0
49,68842,Self-Employed,12388,10439,0.65,8,0.92,26.7,1,0.06,Debt Consolidation,1
31,42149,Employed,11266,14998,0.49,12,0.78,6.8,4,0.11,Debt Consolidation,1
29,41575,Unemployed,31310,29793,0.74,13,0.86,1.0,2,0.27,Home Improvement,0
47,70681,Employed,26875,71690,0.6,11,0.92,7.8,1,0.21,Auto,0
39,57961,Employed,31267,26805,0.38,9,0.93,7.5,1,0.18,Debt Consolidation,1
50,57415,Employed,4534,63028,0.39,16,0.83,30.9,3,0.15,Home Improvement,1
47,61984,Self-Employed,3053,18165,0.41,10,0.88,26.5,2,0.05,Debt Consolidation,1
41,22747,Employed,8112,18930,0.33,11,0.93,21.9,1,0.19,Home Improvement,0
31,71567,Employed,19083,63183,0.36,12,0.93,10.9,1,0.17,Debt Consolidation,1
23,66584,Unemployed,52670,21889,0.72,3,0.71,2.4,5,0.23,Debt Consolidation,0
36,29485,Employed,10929,954,0.54,12,0.77,16.4,4,0.09,Home Improvement,1
52,43388,Self-Employed,33083,19016,0.54,18,0.98,33.4,0,0.24,Auto,1
44,48066,Employed,4739,2606,0.4,17,0.98,9.8,0,0.03,Auto,1
27,45832,Self-Employed,21757,49539,0.39,3,0.83,3.1,3,0.24,Home Improvement,0
44,57926,Employed,34107,66280,0.62,1,0.87,14.7,2,0.28,Debt Consolidation,0
46,100276,Self-Employed,3862,88489,0.4,19,0.93,6.1,1,0.12,Debt Consolidation,1
31,84194,Self-Employed,18487,73418,0.3,13,0.94,1.4,1,0.16,Home Improvement,1
43,25435,Employed,9984,7352,0.4,4,0.88,23.7,2,0.13,Business,1
42,66905,Employed,24130,5935,0.76,16,0.76,22.3,4,0.1,Major Purchase,0
28,95269,Employed,74794,91698,0.42,12,0.93,2.5,1,0.3,Education,1
46,59480,Employed,13502,39910,0.26,13,1.0,12.0,0,0.13,Home Improvement,1
48,84583,Self-Employed,38279,69184,0.32,17,0.93,25.1,1,0.21,Education,1
54,134072,Employed,41080,116946,0.41,8,0.93,24.1,1,0.18,Debt Consolidation,1
54,81785,Employed,13839,40182,0.42,13,0.83,14.8,3,0.1,Education,1
25,55528,Employed,29371,9631,0.44,4,0.93,5.5,1,0.15,Debt Consolidation,1
30,82664,Self-Employed,55557,78864,0.82,10,0.91,10.9,1,0.28,Debt Consolidation,1
48,52703,Unemployed,34338,28697,1.05,5,0.6,27.9,7,0.22,Debt Consolidation,0
48,49610,Employed,6356,49228,0.71,18,0.91,12.0,1,0.15,Home Improvement,0
48,41121,Employed,17500,21598,0.51,15,0.92,6.0,1,0.17,Education,1
75,107120,Retired,76926,27896,0.36,12,0.93,52.1,1,0.2,Auto,1
48,32558,Employed,8224,6680,0.31,17,0.93,3.7,1,0.09,Business,0
55,105470,Employed,64192,94153,0.15,15,0.99,27.0,0,0.25,Major Purchase,1
53,62939,Employed,20840,43419,0.37,2,0.83,5.8,3,0.16,Debt Consolidation,1
49,24351,Employed,4051,11822,0.63,6,0.92,12.7,1,0.1,Home Improvement,1
38,58913,Employed,15065,34790,0.43,17,0.93,8.8,1,0.13,Home Improvement,0
51,17154,Employed,11673,11313,0.42,16,0.93,6.1,1,0.24,Business,1
32,67020,Employed,11559,19254,0.74,1,0.76,13.0,4,0.08,Debt Consolidation,1
39,76314,Employed,59978,34630,0.43,9,1.0,1.1,0,0.24,Debt Consolidation,1
36,36454,Self-Employed,9433,12791,0.65,11,0.82,16.2,3,0.1,Debt Consolidation,0
42,52144,Employed,9656,24304,0.31,5,1.0,21.3,0,0.1,Major Purchase,1
69,130232,Retired,44210,75084,0.18,1,0.99,16.8,0,0.15,Business,1
19,38067,Employed,30220,7918,0.43,6,0.93,1.0,1,0.22,Home Improvement,0
50,28869,Self-Employed,14756,13632,0.62,14,0.82,8.8,3,0.18,Business,0
22,102829,Unemployed,30529,47567,0.65,1,0.87,3.3,2,0.13,Debt Consolidation,0
36,130782,Employed,19262,42900,0.41,9,0.93,10.5,1,0.07,Debt Consolidation,1
55,49111,Employed,38649,58844,0.73,19,0.91,11.8,1,0.33,Auto,0
42,81286,Employed,54788,7181,0.45,1,0.78,10.2,4,0.17,Debt Consolidation,0
29,95869,Employed,52686,73966,0.78,1,0.81,7.9,3,0.22,Debt Consolidation,0
33,33818,Employed,11097,7078,0.37,13,0.88,13.7,2,0.1,Business,1
50,38458,Employed,4809,38743,0.38,14,0.98,5.1,0,0.15,Education,1
33,90711,Employed,65327,99513,0.46,11,0.98,9.0,0,0.3,Major Purchase,1
44,113835,Employed,61052,54842,0.6,6,0.92,7.3,1,0.19,Debt Consolidation,1
42,64954,Employed,48508,64185,0.75,6,0.86,19.4,2,0.3,Home Improvement,1
34,31574,Employed,4641,9468,0.42,1,0.88,2.1,2,0.07,Debt Consolidation,0
67,132393,Retired,29080,21010,0.59,14,0.82,34.1,3,0.07,Business,1
49,37590,Employed,29195,14248,0.37,3,0.83,6.2,3,0.23,Debt Consolidation,0
18,41457,Employed,1656,16997,0.85,7,0.91,0.6,1,0.06,Home Improvement,0
44,58172,Self-Employed,16609,27737,0.29,10,0.99,21.9,0,0.13,Debt Consolidation,1
34,106625,Employed,20535,47720,0.67,3,0.98,12.3,0,0.1,Auto,0
52,75130,Employed,59292,37067,0.42,19,0.99,25.8,0,0.25,Debt Consolidation,1
32,60320,Self-Employed,5110,51395,0.62,3,0.92,7.7,1,0.12,Debt Consolidation,0
40,61799,Employed,44982,18211,0.27,4,0.99,19.7,0,0.21,Home Improvement,1
48,50099,Employed,8207,1116,0.46,19,0.93,18.1,1,0.04,Home Improvement,1
52,64800,Employed,49637,38077,0.56,10,0.77,31.3,4,0.25,Debt Consolidation,1
27,15000,Self-Employed,1306,8069,0.68,11,0.82,5.4,3,0.09,Debt Consolidation,0
37,42264,Unemployed,21876,3046,0.68,9,0.72,10.1,5,0.13,Business,0
36,55307,Employed,9869,8880,0.33,2,0.93,4.8,1,0.06,Debt Consolidation,1
34,27570,Employed,12104,16870,0.35,4,0.99,9.2,0,0.18,Debt Consolidation,1
63,59466,Employed,13185,16751,0.3,6,0.88,7.2,2,0.09,Debt Consolidation,1
46,44256,Employed,21878,46606,0.28,7,0.94,24.5,1,0.25,Major Purchase,1
26,117917,Employed,2396,24520,0.48,7,0.93,5.7,1,0.03,Debt Consolidation,0
53,107635,Employed,4460,2599,0.42,18,0.88,34.8,2,0.02,Business,1
67,38835,Retired,5353,20857,0.46,19,0.88,5.4,2,0.1,Business,0
54,45459,Self-Employed,30020,53795,0.34,9,0.93,9.4,1,0.3,Home Improvement,1
23,47241,Employed,8676,35933,0.71,4,0.81,4.5,3,0.14,Debt Consolidation,1
36,39111,Employed,5544,16615,0.49,10,0.93,7.7,1,0.08,Education,0
57,54041,Employed,4148,1093,0.56,13,0.82,18.7,3,0.02,Auto,1
33,33552,Self-Employed,13272,19524,0.51,2,0.82,13.0,3,0.16,Auto,1
47,27852,Employed,1827,6900,0.57,16,0.87,15.6,2,0.05,Business,0
51,66926,Employed,3655,52021,0.35,17,0.93,7.2,1,0.11,Debt Consolidation,1
30,67155,Employed,44105,46982,0.42,6,1.0,10.8,0,0.24,Education,1
41,32788,Employed,24095,10434,0.64,13,0.87,1.7,2,0.21,Debt Consolidation,0
18,76701,Unemployed,46517,6340,0.71,1,0.66,0.9,6,0.16,Home Improvement,0
29,35746,Employed,9691,32386,0.54,8,0.87,1.5,2,0.17,Education,1
38,55635,Employed,10253,39086,0.5,2,0.72,13.7,5,0.13,Debt Consolidation,1
27,73878,Employed,58016,74657,0.27,12,0.94,1.6,1,0.31,Debt Consolidation,1
61,48203,Employed,8525,15027,0.36,9,0.93,30.7,1,0.08,Debt Consolidation,0
24,61535,Self-Employed,14553,48208,0.51,3,0.99,1.2,0,0.15,Home Improvement,1
36,37865,Employed,22554,5392,0.27,6,0.99,15.3,0,0.16,Business,1
43,44434,Employed,5222,15559,0.62,4,0.92,12.2,1,0.07,Home Improvement,1
59,44226,Employed,26702,34843,0.68,2,0.87,4.7,2,0.24,Auto,1
24,33749,Employed,19373,33434,0.88,8,0.71,4.5,5,0.26,Debt Consolidation,0
55,44873,Unemployed,11716,17280,1.0,10,0.5,18.6,10,0.11,Debt Consolidation,0
42,22599,Employed,5180,21663,0.29,16,1.0,5.4,0,0.17,Debt Consolidation,1
30,38346,Self-Employed,2382,31186,0.48,7,0.73,1.2,5,0.11,Debt Consolidation,0
47,42512,Self-Employed,15362,17787,0.52,11,0.92,12.7,1,0.14,Home Improvement,0
44,43127,Employed,5167,45355,0.57,18,0.92,3.1,1,0.15,Business,1
34,43445,Employed,31287,26548,0.34,6,0.88,2.4,2,0.25,Home Improvement,1
42,47530,Employed,16581,36973,0.57,14,0.82,7.1,3,0.18,Home Improvement,1
37,62300,Employed,27194,37053,0.27,8,0.94,12.3,1,0.18,Debt Consolidation,1
43,75906,Employed,49721,41236,0.43,15,0.88,13.7,2,0.22,Debt Consolidation,1
49,35423,Employed,10427,36044,0.29,17,0.99,3.1,0,0.19,Debt Consolidation,1
61,26860,Employed,11822,9498,0.49,18,0.98,41.7,0,0.15,Education,1
27,29114,Employed,22766,1279,0.41,6,0.73,8.1,5,0.19,Home Improvement,0
67,38422,Retired,4983,40563,0.41,14,0.88,13.4,2,0.16,Debt Consolidation,1
18,41111,Self-Employed,18789,40700,0.56,7,0.87,0.2,2,0.23,Education,0
40,33356,Employed,25121,14672,0.87,3,0.81,20.8,3,0.23,Home Improvement,1
49,25640,Employed,7200,5705,0.53,7,0.99,14.8,0,0.09,Debt Consolidation,1
45,39024,Self-Employed,15761,31633,0.3,15,0.94,9.1,1,0.19,Education,0
34,53675,Employed,23126,5072,0.45,5,0.93,8.4,1,0.11,Auto,0
39,66006,Self-Employed,24095,33564,0.4,16,0.88,16.5,2,0.15,Debt Consolidation,1
36,37096,Employed,27123,3822,0.4,16,0.93,3.9,1,0.19,Education,0
34,39874,Employed,19268,28608,0.41,8,0.93,12.5,1,0.2,Debt Consolidation,1
52,30842,Employed,14319,1006,0.41,7,0.93,25.7,1,0.12,Auto,1
46,48256,Employed,16590,36437,0.7,6,0.86,15.6,2,0.17,Business,1
33,32073,Employed,14497,25909,0.52,2,0.92,13.1,1,0.21,Home Improvement,0
52,65288,Employed,3184,38165,0.29,13,0.94,5.4,1,0.08,Debt Consolidation,1
45,20071,Employed,7317,4215,0.78,12,0.91,16.5,1,0.11,Home Improvement,0
51,40953,Employed,8003,4982,0.46,15,0.99,15.4,0,0.06,Debt Consolidation,1
49,56985,Employed,42178,21423,0.89,9,0.86,13.7,2,0.22,Debt Consolidation,0
32,53740,Self-Employed,41198,30000,1.1,2,0.84,4.3,2,0.25,Education,0
35,188436,Employed,38118,96331,0.22,1,0.99,7.0,0,0.11,Debt Consolidation,1
50,58390,Employed,26387,87,0.43,5,0.99,4.4,0,0.11,Debt Consolidation,1
49,29672,Employed,14898,25318,0.47,11,0.93,8.5,1,0.22,Auto,1
41,46735,Self-Employed,30554,39970,0.42,7,0.88,7.0,2,0.26,Education,1
43,20168,Self-Employed,5699,10758,0.47,2,0.98,18.3,0,0.13,Debt Consolidation,1
57,47084,Employed,28781,19402,0.49,16,0.88,2.8,2,0.2,Education,1
34,32320,Self-Employed,10378,32668,0.55,12,0.92,10.8,1,0.2,Major Purchase,1
48,77473,Employed,35501,72940,0.3,15,0.88,7.4,2,0.22,Debt Consolidation,0
39,37243,Employed,13988,43943,0.3,1,0.99,2.6,0,0.23,Home Improvement,1
39,46240,Self-Employed,17456,20637,0.3,13,0.98,7.0,0,0.14,Auto,1
